asset_id,store_id,asset_type,make,model,system_version,serial_number,install_date,last_service_date,warranty_expiry
POS-0001-T1,SW-0001,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.0,FT962050,2022-09-05,2023-02-28,2025-09-05
RTR-0001-01,SW-0001,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL520172,2023-10-05,2023-02-07,2026-08-14
PRN-0001-P1,SW-0001,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP259097,2020-11-01,2023-10-16,2026-09-15
POS-0002-T1,SW-0002,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.0,FT929151,2023-05-26,2023-11-02,2026-05-26
RTR-0002-01,SW-0002,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL336650,2023-12-07,2023-07-14,2026-04-07
PRN-0002-P1,SW-0002,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP717113,2022-05-28,2023-06-06,2025-05-04
SSM-0002-01,SW-0002,Soft Serve Machine,CreamTech SC-300,CreamTech SC-300,CreamTech SC-300 v3.1,CT899787,2022-03-02,2023-11-17,2025-08-05
POS-0003-T1,SW-0003,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT102805,2020-06-02,2023-03-22,2023-06-02
RTR-0003-01,SW-0003,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL572387,2023-08-21,2023-05-30,2025-02-03
PRN-0003-P1,SW-0003,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP837135,2022-07-18,2023-02-06,2026-04-24
PRN-0003-P2,SW-0003,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP926097,2023-07-04,2023-10-29,2026-02-10
SSM-0003-01,SW-0003,Soft Serve Machine,FrostyPro 800,FrostyPro 800,FrostyPro 800 v2.0,CT220351,2022-04-06,2023-11-28,2025-06-02
KSK-0003-01,SW-0003,Self-Order Kiosk,ServeWell Kiosk,ServeWell Kiosk,ServeWell Kiosk v2.1,KS966785,2022-05-26,2023-02-06,2026-03-03
POS-0004-T1,SW-0004,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT230394,2021-08-14,2023-08-13,2024-08-14
RTR-0004-01,SW-0004,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL822131,2022-09-15,2023-12-25,2026-02-17
PRN-0004-P1,SW-0004,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP559023,2020-06-13,2023-11-03,2025-03-23
SSM-0004-01,SW-0004,Soft Serve Machine,FrostyPro 800,FrostyPro 800,FrostyPro 800 v2.0,CT870214,2022-10-23,2023-11-06,2025-09-14
POS-0005-T1,SW-0005,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT901909,2023-04-17,2023-01-11,2026-04-17
RTR-0005-01,SW-0005,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL961322,2022-07-06,2023-10-23,2025-02-11
PRN-0005-P1,SW-0005,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP593355,2022-11-28,2023-11-30,2027-06-25
SSM-0005-01,SW-0005,Soft Serve Machine,FrostyPro 800,FrostyPro 800,FrostyPro 800 v1.8,CT290305,2023-06-12,2023-11-22,2026-05-19
POS-0006-T1,SW-0006,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT999398,2023-10-04,2023-02-23,2026-10-04
RTR-0006-01,SW-0006,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL445824,2023-04-24,2023-12-22,2026-05-23
PRN-0006-P1,SW-0006,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP953085,2023-01-31,2023-01-19,2027-07-21
POS-0007-T1,SW-0007,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.0,FT789606,2022-11-19,2023-01-01,2025-11-19
POS-0007-T2,SW-0007,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v5.1.1,FT156837,2022-08-04,2023-07-31,2025-08-04
RTR-0007-01,SW-0007,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL643623,2023-01-11,2023-11-15,2026-05-26
PRN-0007-P1,SW-0007,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP313446,2021-06-30,2023-10-09,2025-09-26
SSM-0007-01,SW-0007,Soft Serve Machine,FrostyPro 800,FrostyPro 800,FrostyPro 800 v1.8,CT559398,2023-09-20,2023-03-04,2025-01-30
KSK-0007-01,SW-0007,Self-Order Kiosk,TouchPoint K1,TouchPoint K1,TouchPoint K1 v1.1,KS738448,2022-09-03,2023-12-30,2026-06-12
POS-0008-T1,SW-0008,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT223172,2020-08-20,2023-08-25,2023-08-20
RTR-0008-01,SW-0008,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL972565,2021-11-12,2023-09-13,2025-10-26
PRN-0008-P1,SW-0008,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP535673,2022-09-15,2023-08-30,2026-05-15
SSM-0008-01,SW-0008,Soft Serve Machine,FrostyPro 800,FrostyPro 800,FrostyPro 800 v2.0,CT678043,2021-10-24,2023-07-16,2025-07-15
KSK-0008-01,SW-0008,Self-Order Kiosk,TouchPoint K1,TouchPoint K1,TouchPoint K1 v1.1,KS632929,2022-05-20,2023-02-05,2026-10-10
POS-0009-T1,SW-0009,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT396578,2021-07-01,2023-01-02,2024-07-01
POS-0009-T2,SW-0009,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v5.1.1,FT708093,2021-09-03,2023-10-28,2024-09-03
RTR-0009-01,SW-0009,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL613425,2021-11-01,2023-08-17,2026-07-06
PRN-0009-P1,SW-0009,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP678727,2023-01-17,2023-07-13,2027-07-22
POS-0010-T1,SW-0010,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT344907,2023-03-17,2023-07-16,2026-03-17
RTR-0010-01,SW-0010,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL145767,2022-10-14,2023-08-31,2026-12-24
PRN-0010-P1,SW-0010,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP504832,2023-09-21,2023-11-30,2025-11-08
POS-0011-T1,SW-0011,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT986088,2021-11-10,2023-02-21,2024-11-10
RTR-0011-01,SW-0011,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL204555,2023-12-14,2023-08-22,2025-01-16
PRN-0011-P1,SW-0011,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP786587,2020-11-12,2023-02-08,2027-08-20
