ticket_id,store_id,date_opened,priority,category,subcategory,status,chaos_type,escalation_flag,filename
INC-00001,SW-0023,2026-04-04T10:01:00+05:30,P4,POS,Loyalty Sync,Open,,False,raw/INC-00001.json
INC-00004,SW-0110,2025-12-10T08:30:00+05:30,P3,POS,PIN Pad,Open,,False,raw/INC-00004.json
INC-00005,SW-0017,2025-11-22T17:59:00+05:30,P2,Kiosks,Payment Reader,Open,misdirection,False,raw/INC-00005.json
INC-00006,SW-0038,2026-04-12T18:45:00+05:30,P3,Wi-Fi / Network,Guest Wi-Fi,Open,,True,raw/INC-00006.json
INC-00007,SW-0080,2026-02-08T14:40:00+05:30,P3,POS,Loyalty Sync,Open,,False,raw/INC-00007.json
INC-00008,SW-0022,2026-01-14T13:24:00+05:30,P3,POS,Scanner,Closed,,True,raw/INC-00008.json
INC-00010,SW-0082,2026-04-24T14:57:00+05:30,P2,POS,Network Connectivity,Open,miscategorized,False,raw/INC-00010.json
INC-00011,SW-0054,2026-04-18T09:57:00+05:30,P4,Wi-Fi / Network,DHCP,Open,false_asset,True,raw/INC-00011.json
INC-00012,SW-0034,2026-02-26T21:34:00+05:30,P3,Wi-Fi / Network,Intermittent,Open,,False,raw/INC-00012.json
INC-00013,SW-0012,2026-04-13T08:01:00+05:30,P2,Wi-Fi / Network,DHCP,Open,,False,raw/INC-00013.json
INC-00014,SW-0037,2026-02-22T11:23:00+05:30,P1,Soft Serve,Dispensing Issue,Open,unknown_system,False,raw/INC-00014.json
INC-00015,SW-0102,2025-12-11T18:45:00+05:30,P3,POS,Printer Integration,Open,,False,raw/INC-00015.json
INC-00016,SW-0120,2026-05-05T17:35:00+05:30,P4,Printers,Printer Offline,Open,,False,raw/INC-00016.json
INC-00017,SW-0116,2026-05-05T16:31:00+05:30,P3,Soft Serve,Overcooling,Open,,False,raw/INC-00017.json
INC-00018,SW-0001,2026-03-17T10:46:00+05:30,P3,POS,Network,Open,,False,raw/INC-00018.json
INC-00019,SW-0109,2026-01-19T09:13:00+05:30,P2,POS,Slow Performance,Closed,,True,raw/INC-00019.json
INC-00020,SW-0066,2025-11-02T11:28:00+05:30,P2,Online Orders,Order Acceptance,Open,,False,raw/INC-00020.json
INC-00021,SW-0092,2026-05-12T10:53:00+05:30,P3,Soft Serve,Overcooling,Open,,True,raw/INC-00021.json
INC-00022,SW-0005,2026-02-07T17:31:00+05:30,P2,Online Orders,Duplicate Orders,Open,,False,raw/INC-00022.json
INC-00023,SW-0071,2026-04-15T12:00:00+05:30,P2,Online Orders,Order Acceptance,Open,,False,raw/INC-00023.json
INC-00024,SW-0075,2025-11-04T19:44:00+05:30,P3,POS,End-of-Day,Open,,False,raw/INC-00024.json
INC-00025,SW-0058,2026-01-29T15:24:00+05:30,P4,Wi-Fi / Network,Guest Wi-Fi,Open,,False,raw/INC-00025.json
INC-00026,SW-0059,2026-02-05T14:04:00+05:30,P2,Soft Serve,Dispensing Issue,Open,,True,raw/INC-00026.json
INC-00028,SW-0044,2026-01-15T11:58:00+05:30,P1,Online Orders,Zomato Down,Open,,False,raw/INC-00028.json
INC-00029,SW-0113,2026-01-03T15:38:00+05:30,P3,Printers,Not Detected,Open,,False,raw/INC-00029.json
INC-00030,SW-0056,2026-01-24T07:07:00+05:30,P3,POS,End-of-Day,Closed,,False,raw/INC-00030.json
INC-00031,SW-0100,2025-12-22T12:26:00+05:30,P4,Printers,Printer Offline,Open,,True,raw/INC-00031.json
INC-00033,SW-0026,2025-11-26T17:50:00+05:30,P4,Online Orders,Duplicate Orders,Open,,False,raw/INC-00033.json
INC-00034,SW-0092,2025-11-03T15:12:00+05:30,P3,Wi-Fi / Network,Intermittent,Open,,True,raw/INC-00034.json
INC-00035,SW-0046,2026-05-08T10:15:00+05:30,P2,POS,End-of-Day,Open,contradictory,True,raw/INC-00035.json
INC-00037,SW-0037,2026-03-05T14:13:00+05:30,P2,Soft Serve,Mix Low Alert,Open,,False,raw/INC-00037.json
INC-00038,SW-0023,2026-03-09T16:57:00+05:30,P4,Kiosks,Touchscreen,Open,,False,raw/INC-00038.json
INC-00039,SW-0022,2026-01-23T19:03:00+05:30,P2,Online Orders,Menu Mismatch,Open,,False,raw/INC-00039.json
INC-00040,SW-0056,2026-02-24T14:43:00+05:30,P4,Online Orders,Menu Mismatch,Open,,False,raw/INC-00040.json
INC-00041,SW-0096,2026-05-02T11:05:00+05:30,P4,Printers,Driver Issue,Open,,False,raw/INC-00041.json
INC-00042,SW-0010,2025-11-02T14:47:00+05:30,P3,Online Orders,Portal Down,Open,,False,raw/INC-00042.json
INC-00043,SW-0022,2026-04-25T12:16:00+05:30,P3,Online Orders,Portal Down,Open,,False,raw/INC-00043.json
INC-00044,SW-0052,2026-05-16T10:42:00+05:30,P3,Wi-Fi / Network,Intermittent,Open,,False,raw/INC-00044.json
INC-00045,SW-0061,2025-11-03T18:53:00+05:30,P3,Soft Serve,Error Code,Open,emotional,False,raw/INC-00045.json
INC-00046,SW-0087,2026-03-02T19:26:00+05:30,P3,Online Orders,Sync Failure,Open,,False,raw/INC-00046.json
INC-00047,SW-0038,2025-11-12T16:55:00+05:30,P2,Online Orders,Duplicate Orders,Resolved,,False,raw/INC-00047.json
INC-00048,SW-0114,2026-03-23T18:35:00+05:30,P3,Online Orders,Duplicate Orders,Open,false_asset,False,raw/INC-00048.json
INC-00051,SW-0074,2026-05-13T20:49:00+05:30,P2,Wi-Fi / Network,VPN,Open,,False,raw/INC-00051.json
INC-00053,SW-0031,2025-11-24T21:14:00+05:30,P4,Soft Serve,Dispensing Issue,Open,,True,raw/INC-00053.json
INC-00054,SW-0053,2026-03-28T15:07:00+05:30,P2,POS,Network Connectivity,Open,miscategorized,False,raw/INC-00054.json
INC-00056,SW-0094,2025-12-22T11:36:00+05:30,P2,Kiosks,Payment Reader,Open,,True,raw/INC-00056.json
INC-00057,SW-0104,2026-05-08T16:56:00+05:30,P3,POS,Loyalty Sync,Open,,False,raw/INC-00057.json
INC-00058,SW-0098,2026-03-24T10:45:00+05:30,P2,Printers,Paper Jam,Open,,False,raw/INC-00058.json
INC-00059,SW-0066,2025-12-06T20:55:00+05:30,P3,POS,Printer Integration,Open,contradictory,True,raw/INC-00059.json
INC-00060,SW-0071,2025-11-21T08:46:00+05:30,P3,POS,Screen Frozen,Open,,False,raw/INC-00060.json
INC-00062,SW-0091,2026-02-05T09:46:00+05:30,P4,Kiosks,Touchscreen,Open,,False,raw/INC-00062.json
INC-00063,SW-0109,2025-12-22T08:08:00+05:30,P4,POS,Network,Open,,False,raw/INC-00063.json
INC-00064,SW-0052,2025-12-22T20:58:00+05:30,P3,POS,Printer Integration,Open,,False,raw/INC-00064.json
INC-00068,SW-0019,2026-05-12T19:26:00+05:30,P4,Printers,Printer Offline,Open,,False,raw/INC-00068.json
INC-00069,SW-0056,2026-01-18T09:04:00+05:30,P2,Online Orders,Portal Down,Open,,False,raw/INC-00069.json
INC-00070,SW-0099,2026-02-25T15:09:00+05:30,P3,Printers,Wrong Output,Open,,False,raw/INC-00070.json
INC-00071,SW-0057,2025-12-04T16:24:00+05:30,P3,Printers,Not Detected,Open,,False,raw/INC-00071.json
INC-00073,SW-0114,2026-04-11T09:51:00+05:30,P4,POS,Printer Integration,Open,,True,raw/INC-00073.json
INC-00074,SW-0010,2026-02-20T16:25:00+05:30,P3,Soft Serve,Error Code,Open,,False,raw/INC-00074.json
INC-00075,SW-0007,2026-01-02T11:13:00+05:30,P3,Online Orders,Zomato Down,Open,,False,raw/INC-00075.json
INC-00078,SW-0102,2025-12-12T16:15:00+05:30,P3,Soft Serve,Error Code,Open,,True,raw/INC-00078.json
INC-00079,SW-0087,2026-03-10T11:42:00+05:30,P2,Soft Serve,Machine Won't Start,Open,,False,raw/INC-00079.json
INC-00081,SW-0116,2025-12-25T21:55:00+05:30,P2,Wi-Fi / Network,VPN,Resolved,,False,raw/INC-00081.json
INC-00082,SW-0017,2026-04-30T21:51:00+05:30,P3,POS,Terminal Startup,Open,,False,raw/INC-00082.json
INC-00083,SW-0023,2026-04-15T20:04:00+05:30,P3,POS,Terminal Startup,Open,,False,raw/INC-00083.json
INC-00085,SW-0060,2025-11-24T17:34:00+05:30,P3,POS,Screen Frozen,Open,,False,raw/INC-00085.json
INC-00087,SW-0019,2025-11-09T09:38:00+05:30,P3,POS,Screen Frozen,Open,,True,raw/INC-00087.json
INC-00088,SW-0011,2026-01-05T07:23:00+05:30,P1,Wi-Fi / Network,Device Connectivity,Resolved,vague,True,raw/INC-00088.json
INC-00089,SW-0089,2026-03-09T11:21:00+05:30,P4,Printers,Wrong Output,Open,unknown_system,True,raw/INC-00089.json
INC-00090,SW-0104,2026-04-29T13:05:00+05:30,P2,POS,Printer Integration,Open,,False,raw/INC-00090.json
INC-00091,SW-0023,2026-01-02T09:41:00+05:30,P4,Wi-Fi / Network,Guest Wi-Fi,Open,,True,raw/INC-00091.json
INC-00092,SW-0091,2026-02-14T18:13:00+05:30,P4,Wi-Fi / Network,Router Offline,Open,,True,raw/INC-00092.json
INC-00093,SW-0027,2026-01-08T19:50:00+05:30,P2,Wi-Fi / Network,VPN,Open,,False,raw/INC-00093.json
INC-00094,SW-0034,2026-03-12T12:05:00+05:30,P4,Kiosks,Screen Frozen,Open,,False,raw/INC-00094.json
INC-00095,SW-0084,2026-04-07T16:32:00+05:30,P4,POS,End-of-Day,Open,,False,raw/INC-00095.json
INC-00096,SW-0110,2025-12-28T11:38:00+05:30,P4,Soft Serve,Machine Won't Start,Open,,False,raw/INC-00096.json
INC-00097,SW-0096,2026-01-17T11:17:00+05:30,P3,POS,Slow Performance,Closed,,True,raw/INC-00097.json
INC-00098,SW-0007,2026-03-15T21:36:00+05:30,P4,POS,Screen Frozen,Open,,False,raw/INC-00098.json
INC-00099,SW-0089,2026-05-11T15:35:00+05:30,P3,Wi-Fi / Network,DHCP,Open,,False,raw/INC-00099.json
INC-00100,SW-0012,2026-04-24T13:12:00+05:30,P4,Kiosks,Screen Frozen,Open,,False,raw/INC-00100.json
